id,name,host_id,host_name,host_since_Year,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,accommodates,bedrooms
16685383,A nice bed in the attic of my 'palace'.,5831960,Roelant,2013,Bos en Lommer,52.37933,4.84745,Private room,39,1,12,2018-06-21,4.67,4.75,4.83,5,5,4.58,4.92,1,1
16687949,Cozy room nearby Amsterdam centre with bike rent,110484766,Ronald,2017,De Baarsjes - Oud-West,52.37118,4.84928,Private room,77,3,155,2022-05-21,4.86,4.9,4.93,4.95,4.97,4.7,4.69,3,1
16697065,Light and spacious apartment in authentic neighbor,5831960,Roelant,2013,Bos en Lommer,52.37962,4.84779,Entire home/apt,102,4,24,2022-03-05,4.88,4.92,4.71,4.88,4.83,4.67,4.83,2,1
16705542,Gypsy Waggon - A villa on wheels,3040748,Henk,2012,Noord-Oost,52.39527,4.99237,Private room,103,2,81,2022-04-25,4.41,4.37,4.31,4.51,4.52,4.27,4.46,6,2
16710492,"Spacious, Light, Authentic and very Cosy",10130015,Emiel,2013,Oud-Oost,52.35042,4.91603,Entire home/apt,185,4,41,2022-03-28,4.88,4.9,4.76,4.93,4.93,4.76,4.68,3,2
16715510,Peaceful Home in lively neighbourhood,6906435,Agnes,2013,Westerpark,52.38865,4.88074,Entire home/apt,220,5,34,2022-04-24,4.94,5,4.76,4.91,4.97,4.68,4.71,4,2
16721604,"Rustic, modern apartment near Amsterdam centre",20007465,Sarah,2014,Bos en Lommer,52.37437,4.84651,Entire home/apt,190,30,16,2021-12-11,4.87,4.8,4.53,4.8,4.87,4.53,4.73,4,2
16737594,Room amsterdam app. Near city Centre & vondelpark,60396517,Sydney Romeny,2016,De Baarsjes - Oud-West,52.35934,4.84995,Private room,85,2,4,2019-10-27,5,5,5,5,4.75,4.5,4.5,2,1
16748989,RELAX at the KNSM-island!,8053379,Jasper,2013,Oostelijk Havengebied - Indische Buurt,52.3777,4.94521,Entire home/apt,288,1,44,2019-11-27,4.8,4.9,4.85,4.9,4.93,4.46,4.37,4,1
16751073,Lovely renovated central apartment!,16679663,Johan,2014,De Baarsjes - Oud-West,52.36553,4.87133,Entire home/apt,245,3,45,2022-05-23,4.87,4.89,4.73,4.91,4.98,4.93,4.64,2,1
16751079,"Unique whole family house in Amsterdam, Jordaan.",15336049,Marichelle,2014,Centrum-West,52.3788,4.88539,Entire home/apt,300,3,23,2022-05-07,4.91,4.96,4.52,5,4.87,5,4.65,5,3
16761223,Cosy renovated warehouse loft,15363263,Ronald,2014,Westerpark,52.38989,4.88278,Entire home/apt,179,3,13,2020-01-01,4.92,4.92,5,5,5,4.85,4.77,4,1
16763977,Cosy private room in canal house in heart of town,50510716,Rebecca,2015,Centrum-Oost,52.37375,4.90227,Private room,95,3,75,2020-02-23,4.77,4.81,4.69,4.96,4.84,4.95,4.62,2,1
16775644,Weesperzijdebuurt,111396524,Arjan,2017,Oud-Oost,52.35355,4.91367,Entire home/apt,240,3,27,2022-04-19,4.63,4.67,4.67,4.67,4.83,4.83,4.75,2,1
16788501,Cosy 1-bedroom apartment near Vondelpark,39211269,Gautier,2015,De Baarsjes - Oud-West,52.36615,4.87549,Entire home/apt,184,3,12,2019-12-27,4.75,5,4.5,5,5,4.75,4.58,2,1
16802673,Beautiful quiet Apt in the center of Amsterdam,2820665,Barak,2012,De Pijp - Rivierenbuurt,52.35011,4.89958,Entire home/apt,230,1,48,2022-05-02,4.89,5,4.81,4.94,4.98,4.81,4.7,3,2
16804355,"Jordaan apartment long term only, 1, 2, 3, 4 month",56163785,Leonora,2016,Centrum-West,52.37764,4.88144,Entire home/apt,295,3,38,2022-05-16,4.92,4.92,4.86,4.97,4.92,5,4.76,2,1
16852387,Lovely city apartment with canal view and a piano!,75751560,Kathrin,2016,Westerpark,52.38579,4.87923,Entire home/apt,225,3,14,2018-10-29,4.93,5,5,4.86,4.93,4.86,4.86,4,2
16863015,"Hotel in the heart of Amsterdam, Double room",67005410,Feliciano,2016,Centrum-West,52.37426,4.89926,Private room,137,1,146,2022-05-08,4.77,4.77,4.77,4.93,4.88,4.93,4.57,2,1
16877004,Luxurious bel-etage with balcony in centre (70m2),10197812,Anneloes,2013,Oud-Oost,52.35868,4.91359,Entire home/apt,159,2,60,2022-05-30,4.78,4.85,4.83,4.78,4.85,4.73,4.68,2,1
16878229,"Spacious, modern, sunny, childfriendly family home",2999168,Renée,2012,Slotervaart,52.36177,4.82744,Entire home/apt,100,5,6,2021-10-23,4.83,5,4.5,5,5,4.5,4.67,6,4
16907665,Spacious quiet private apartment near RAI / PIJP,5142098,Susan,2013,De Pijp - Rivierenbuurt,52.3464,4.89778,Entire home/apt,200,2,22,2019-09-15,4.95,4.95,4.82,5,4.95,4.55,4.55,4,1
16938317,Cozy room in a quiet area of Amsterdam centre.,57628084,Ruud,2016,Centrum-Oost,52.37242,4.92064,Private room,82,1,145,2022-05-29,4.76,4.86,4.81,4.94,4.96,4.69,4.61,2,1
16967348,Light & bright apartment in hip Oost,113356465,Anouk,2017,Oostelijk Havengebied - Indische Buurt,52.36242,4.93798,Entire home/apt,128,2,38,2020-02-16,4.87,4.95,4.79,5,5,4.79,4.87,2,1
16996727,Rooftop apartment amidst Jordaan & Westerpark,11870611,Alexandra,2014,Westerpark,52.3795,4.87526,Entire home/apt,277,3,22,2020-08-07,4.95,4.95,5,4.95,5,4.86,4.62,4,2
17007711,Familyfriendly 150m2 house/parking/garden,19695482,Rudy & Carol,2014,IJburg - Zeeburgereiland,52.35821,4.99557,Entire home/apt,250,6,12,2021-10-21,4.92,4.82,4.92,4.7,5,4.9,4.7,5,3
